,city,description,image,link,price,bedrooms,rooms,size,type,zone
100,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/carnot-petit-pont-alouettes/171515481.htm,314 000 €,2,3,44,Appartement,Carnot-Petit Pont-Alouettes
101,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/174144909.htm,352 000 €,2,3,57,Appartement,Juillet Zola
102,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/174182685.htm,270 000 €,2,3,48,Appartement,Juillet Zola
103,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/173448589.htm,325 000 €,2,3,65,Appartement,Juillet Zola
104,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/carnot-petit-pont-alouettes/173257109.htm,315 500 €,1,2,54,Appartement,Carnot-Petit Pont-Alouettes
105,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/carnot-petit-pont-alouettes/173352061.htm,129 000 €,,1,26,Studio,Carnot-Petit Pont-Alouettes
106,Créteil,"Dans une résidence calme et sécurisée avec gardien, à proximité des commodités quotidennes, ce 3 pièces très lumineux et en e",,https://www.seloger.com/172640329/detail.htm,257 000 €,2,3,75,Appartement,
107,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/173832317.htm,220 000 €,1,2,38,Appartement,Juillet Zola
108,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/171316793.htm,80 000 €,,1,9,Studio,Juillet Zola
109,Alfortville (94140),,,https://www.seloger.com/annonces/investissement/appartement/alfortville-94/juillet-zola/173448593.htm,170 000 €,1,2,36,Appartement,Juillet Zola
110,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/169827393.htm,498 000 €,3,4,91,Appartement,Juillet Zola
111,Alfortville (94140),,https://v.seloger.com/s/crop/341x256/visuels/0/0/2/7/0027ocj9lv1iw2gqzl16q3jtr80qeg7qn8gbhshdr.jpg,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/174144911.htm,395 000 €,3,4,75,Appartement,Juillet Zola
112,Alfortville (94140),,https://v.seloger.com/s/crop/341x256/visuels/0/d/i/3/0di3st5xdcdswaqhisp4sjielfjcsm2ztyusmnoxs.jpg,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/169413995.htm,238 000 €,,1,40,Studio,Juillet Zola
113,Alfortville (94140),,https://v.seloger.com/s/crop/341x256/visuels/0/s/f/o/0sfo71a3k3e7406bipouc6hy7q9tn5kc4i516m6f4.jpg,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/171843801.htm,315 000 €,2,3,54,Appartement,Juillet Zola
114,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/174247497.htm,325 000 €,2,3,57,Appartement,Juillet Zola
115,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/164790317.htm,472 000 €,3,4,85,Appartement,Juillet Zola
116,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/169134851.htm,167 200 €,,1,28,Studio,Juillet Zola
117,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/carnot-petit-pont-alouettes/169244447.htm,178 000 €,,1,24,Studio,Carnot-Petit Pont-Alouettes
118,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/169977399.htm,365 000 €,2,3,64,Appartement,Juillet Zola
119,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/173900181.htm,440 000 €,3,4,72,Appartement,Juillet Zola
120,Ivry-sur-Seine,"IVRY SUR SEINE - QUARTIER MONMOUSSEAU- VEROLOT, à proximité immédiate du centre ville, de tous les commerces ""carrefour Marke",,https://www.seloger.com/170902889/detail.htm,322 000 €,2,3,60,Appartement,
121,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/carnot-petit-pont-alouettes/170060899.htm,363 000 €,3,4,88,Appartement,Carnot-Petit Pont-Alouettes
122,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/170417773.htm,459 000 €,2,3,71,Appartement,Juillet Zola
123,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/170626773.htm,338 800 €,3,4,78,Appartement,
124,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/carnot-petit-pont-alouettes/171777269.htm,251 000 €,2,3,58,Appartement,Carnot-Petit Pont-Alouettes
125,Alfortville (94140),,,https://www.seloger.com/annonces/achat/appartement/alfortville-94/juillet-zola/172107159.htm,147 000 €,,1,20,Studio,Juillet Zola
